10,5600,1300,3300,
20,4800,500,4400,
30,7200,600,5800,
40,9300,700,7500,
50,14700,900,10100,
60,13800,1100,12000,
70,17500,1100,16300,
80,18900,1400,16200,
90,24400,1500,16700,
100,25100,1500,17800,
110,7300,1600,5200,
120,8200,1700,5500,
130,8300,1800,5700,
140,8900,2400,8100,
150,10200,2000,10300,
160,9700,2100,9200,
170,10300,2300,7400,
180,11000,2400,7800,
190,11800,2500,12900,
200,12300,3200,9300,
210,13200,2800,12000,
220,12900,2900,9600,
230,14600,2900,9700,
240,14400,3100,10800,
250,14800,3800,14200,
260,16400,3400,14500,
270,16300,3400,11700,
280,17200,3600,14900,
290,18200,4300,12100,
300,18200,3800,17600,
310,19500,3900,13100,
320,18900,4800,19700,
330,19700,4200,15400,
340,20500,4300,19100,
350,20400,5000,14900,
360,22200,4600,16500,
370,22200,4700,16300,
380,22600,5500,15800,
390,23700,5000,16900,
400,23700,5700,17300,
410,25100,5300,17600,
420,25700,5400,18800,
430,26200,6000,23200,
440,27900,5400,25500,
450,27500,6700,25200,
460,27100,6200,20400,
470,29000,6800,25800,
480,29800,6400,20700,
490,29600,6600,27600,
500,30300,7200,27500,
510,30500,6800,21800,
520,45900,7500,33700,
530,31700,7000,30000,
540,32200,7700,23900,
550,33200,7900,24200,
560,33300,7400,24100,
570,34900,7600,24000,
580,34900,7100,24600,
590,35200,7700,32000,
600,44300,7400,27300,
610,38200,8200,26200,
620,38100,8100,27400,
630,38100,8100,26400,
640,40000,8600,34800,
650,40400,7800,28200,
660,39800,8700,36000,
670,53600,11700,37500,
680,42500,8200,28900,
690,41600,8900,29600,
700,42700,9100,38800,
710,42200,8500,39400,
720,44000,9300,40500,
730,49500,9300,31900,
740,45300,9500,41700,
750,45300,9600,41700,
760,45300,9800,43200,
770,48400,10200,33800,
780,47700,10000,33600,
790,48300,9500,34700,
800,48800,10200,34900,
810,50500,10400,44700,
820,50900,10400,35900,
830,51000,10500,46400,
840,51000,10100,35900,
850,55400,12100,60600,
860,53400,10900,47800,
870,54700,11000,48700,
880,60800,11000,48600,
890,54600,11200,38900,
900,56300,10700,39700,
910,56400,11500,39700,
920,56300,11600,44200,
930,56200,11800,52400,
940,56800,11800,51900,
950,57700,11800,42100,
960,59500,12000,42200,
970,59500,12100,42700,
980,61100,12300,55400,
990,59900,12900,55300,
1000,62300,13200,44100,
1010,62600,15100,57800,
1020,62900,3100,44400,
1030,65100,3100,47800,
1040,63900,3000,47400,
1050,64800,3000,49300,
1060,64900,3000,46400,
1070,69900,3200,46900,
1080,67600,3100,47500,
1090,67800,3700,47600,
1100,45500,4100,27500,
1110,37000,3300,22000,
1120,36100,3200,21300,
1130,35900,3300,22900,
1140,37100,3300,21000,
1150,36200,3300,20700,
1160,37400,3400,23800,
1170,39000,3900,24400,
1180,44700,5400,31500,
1190,44100,5500,33000,
1200,44300,5500,27700,
1210,39200,3500,22200,
1220,38000,3500,25800,
1230,39100,4000,25100,
1240,38100,3600,25600,
1250,39600,3600,22000,
1260,40500,3700,25500,
1270,40800,3600,22200,
1280,39300,3700,25700,
1290,39900,3700,23700,
1300,41200,4300,22000,
1310,41300,3800,26900,
1320,42400,3800,24000,
1330,42700,3900,27300,
1340,42700,3900,27200,
1350,42500,3900,24200,
1360,43400,5700,27800,
1370,42900,4000,24400,
1380,44100,4000,27100,
1390,43900,4000,24300,
1400,44800,4000,28900,
1410,44600,4100,25200,
1420,45200,4700,28200,
1430,45900,4100,28600,
1440,46400,4100,29000,
1450,45400,4200,29100,
1460,46600,4100,28500,
1470,46800,4200,30100,
1480,46600,4900,26700,
1490,46400,4300,29700,
1500,47500,4300,29300,
1510,48800,4300,28900,
1520,48100,4300,29300,
1530,47000,4900,29300,
1540,48700,4400,25500,
1550,50000,4500,26400,
1560,48300,4500,26400,
1570,50400,4500,33100,
1580,50300,5300,29700,
1590,49700,4500,30800,
1600,49000,4500,26700,
1610,50300,4600,30400,
1620,50300,4600,27400,
1630,52400,5300,31900,
1640,51500,4700,28800,
1650,51800,4700,27800,
1660,51400,4700,32700,
1670,52600,4700,31100,
1680,53100,5300,28200,
1690,52400,4900,27900,
1700,53500,4800,31200,
1710,53900,4900,28600,
1720,53100,4900,29100,
1730,52400,29600,33600,
1740,54800,5000,33400,
1750,56500,5000,34900,
1760,54600,5100,29700,
1770,55900,5000,33800,
1780,56200,28700,30000,
1790,62600,6100,36700,
1800,56100,5100,30600,
1810,56200,5200,35600,
1820,60600,29300,40000,
1830,59000,5800,40500,
1840,59300,5300,33300,
1850,58500,5300,35900,
1860,58600,5300,36000,
1870,59100,29400,36400,
1880,61200,5400,33400,
1890,60100,5400,38400,
1900,60000,5400,34000,
1910,60400,22000,33700,
1920,61000,5500,39100,
1930,61600,5500,37200,
1940,63700,5700,38700,
1950,61800,5600,33300,
1960,61300,29400,38300,
1970,61600,5600,33700,
1980,64000,5600,35000,
1990,62000,5700,38200,
2000,74700,30000,53300,
2010,74800,9100,53000,
2020,75300,9100,43500,
2030,65300,5700,40700,
2040,63400,27500,35000,
2050,63900,5800,38700,
2060,69600,5800,33800,
2070,64400,600,39200,
2080,65500,500,50500,
2090,79200,700,51900,
2100,68100,600,49200,
2110,72300,500,40700,
2120,66300,500,35700,
2130,93800,500,55700,
2140,104600,800,67800,
2150,94200,700,59700,
2160,102100,900,64700,
2170,69100,500,43700,
2180,68700,500,40600,
2190,71200,700,47300,
2200,72600,500,42900,
2210,67400,500,36400,
2220,69300,500,36300,
2230,70900,500,44200,
